"date","c","kd","l","m","mp","s","sd","v","ovr","riksdagsspärr"
2020-02-22,8.40584775142896,6.10701148052695,3.88341390569487,17.9839695934211,4.26656907777762,23.6548163349515,23.4863905697243,10.7094586244941,1.50252266198072,4
2020-02-23,8.25637623412673,6.80418884628811,3.92635192950004,17.9898735048901,4.53668769342834,23.0453564880734,23.3072555709416,10.8164634313041,1.31744630144762,4
2020-02-24,8.25637623412673,6.80418884628811,3.92635192950003,17.9898735048901,4.53668769342834,23.0453564880734,23.3072555709416,10.8164634313041,1.31744630144762,4
2020-02-25,8.25637623412674,6.80418884628811,3.92635192950003,17.9898735048901,4.53668769342834,23.0453564880734,23.3072555709416,10.8164634313041,1.31744630144762,4
2020-02-26,8.25637623412674,6.80418884628811,3.92635192950004,17.9898735048901,4.53668769342834,23.0453564880734,23.3072555709416,10.8164634313041,1.31744630144762,4
2020-02-27,8.25637623412674,6.80418884628811,3.92635192950004,17.9898735048901,4.53668769342834,23.0453564880734,23.3072555709416,10.8164634313041,1.31744630144762,4
2020-02-28,8.25637623412673,6.80418884628811,3.92635192950003,17.9898735048901,4.53668769342834,23.0453564880734,23.3072555709416,10.8164634313041,1.31744630144762,4
2020-02-29,8.25637623412673,6.80418884628811,3.92635192950003,17.9898735048901,4.53668769342834,23.0453564880734,23.3072555709416,10.8164634313041,1.31744630144762,4
2020-03-01,8.25637623412673,6.80418884628811,3.92635192950004,17.9898735048901,4.53668769342834,23.0453564880734,23.3072555709416,10.8164634313041,1.31744630144762,4
2020-03-02,8.25637623412673,6.80418884628811,3.92635192950004,17.9898735048901,4.53668769342834,23.0453564880734,23.3072555709416,10.8164634313041,1.31744630144762,4
2020-03-03,8.71743015313338,7.08470632841864,3.99635845246768,18.5986836394316,3.95748454007488,22.8658102419139,22.8205483785633,10.6485654714544,1.31041279454209,4
2020-03-04,8.71743015313338,7.08470632841864,3.99635845246768,18.5986836394316,3.95748454007488,22.8658102419139,22.8205483785633,10.6485654714544,1.31041279454209,4
2020-03-05,8.71743015313338,7.08470632841864,3.99635845246768,18.5986836394316,3.95748454007488,22.8658102419139,22.8205483785633,10.6485654714544,1.31041279454209,4
2020-03-06,8.71743015313338,7.08470632841864,3.99635845246768,18.5986836394316,3.95748454007488,22.8658102419139,22.8205483785633,10.6485654714544,1.31041279454209,4
